,Unnamed: 0,Unnamed: 0.1,wine_id,name,vintage,wine_type,grape_simple,rating_num,kprice,imgurl
1742,1742,1742,1742,Chianti Classico,2018,Red wine,Sangiovese,101 ratings,"45,094",//images.vivino.com/thumbs/4M0Qqw_hQP-Am82biD376A_pb_x600.png
1743,1743,1743,1743,Chianti Classico,2015,Red wine,Sangiovese,96 ratings,"60,877",//images.vivino.com/thumbs/RbedNE3zSzSKbuWzGwYcPw_pb_x600.png
1744,1744,1744,1744,Il Musmeci Riserva Etna Rosso,2015,Red wine,Nerello Mascalese,77 ratings,"69,691",//images.vivino.com/thumbs/dz6eHvTuRjS5sm5RiQDErg_pb_x600.png
1745,1745,1745,1745,A'Puddara Etna Bianco,2019,White wine,Carricante,77 ratings,"76,660",//images.vivino.com/thumbs/bEGvPi_cR7aszWVJ9HjpQg_pb_x600.png
1746,1746,1746,1746,Le Pigeonnier,2016,Red wine,Carignan,77 ratings,"53,795",//images.vivino.com/thumbs/Iz_QSREfTuKAX7moCA0EFw_pb_x600.png
1747,1747,1747,1747,Special Vintage Noir,2011,Red wine,Pinot Noir,78 ratings,"62,681",//images.vivino.com/thumbs/jA1AsVJVQWuk143zzlf7eg_150x200.jpg
1748,1748,1748,1748,Chardonnay,2018,White wine,Chardonnay,79 ratings,"47,349",//images.vivino.com/thumbs/MqPNVzifTOaZZnH49pppaQ_pb_x600.png
1749,1749,1749,1749,Alvarinho,2020,White wine,Alvarinho,80 ratings,"22,547",//images.vivino.com/thumbs/tkCNZMwtQVe4hlgzyhNuxw_150x200.jpg
1750,1750,1750,1750,Para Maria Rose,2020,Rose wine,Blend,79 ratings,"27,692",//images.vivino.com/thumbs/VnVmOkqKSQuJxfJQWZH57w_pb_x600.png
1751,1751,1751,1751,Soldadito Marinero,2020,White wine,Blend,80 ratings,"22,547",//images.vivino.com/thumbs/_tBL6-rXSpGTKUqYeyr9vw_pb_x600.png
1752,1752,1752,1752,La Ciaude,2017,Red wine,Blend,80 ratings,"49,603",//images.vivino.com/thumbs/QVXBFTTTTpWd-c7YQMtyjQ_pb_x600.png
1753,1753,1753,1753,Barbaresco Angelo,2014,Red wine,Nebbiolo,81 ratings,"157,829",//images.vivino.com/thumbs/k83VhXF4RtepCVrMbn9n6Q_pb_x600.png
1754,1754,1754,1754,Dehesa 14,2004,Red wine,Tempranillo,84 ratings,"73,278",//images.vivino.com/thumbs/5pUAjslIRXemPh8qWrKwrA_pb_x600.png
1755,1755,1755,1755,Lioness of McLaren Vale Shiraz,2019,Red wine,Shiraz/Syrah,84 ratings,"29,516",//images.vivino.com/thumbs/sHyCX49lTA2xFxCVZzH6xg_pb_x600.png
1756,1756,1756,1756,Pinot Noir,2013,Red wine,Pinot Noir,85 ratings,"44,069",//images.vivino.com/thumbs/aNpSnrQCQuKOVeNjS-x-CA_pb_x600.png
1757,1757,1757,1757,Terrasses du Larzac,2016,Red wine,Blend,85 ratings,"38,740",//images.vivino.com/thumbs/VJw3LPL5Qp68NBZ3yKMvxw_pb_x600.png
1758,1758,1758,1758,Fausto,2014,White wine,Timorasso,85 ratings,"78,914",//images.vivino.com/thumbs/jaZxpzm2TJWzb9wXHkJpHA_pb_x600.png
1759,1759,1759,1759,Reserva,2014,Red wine,Tempranillo,86 ratings,"64,259",//images.vivino.com/thumbs/WWNj24JRTIqaigbCqdw-CQ_pb_x600.png
1760,1760,1760,1760,Monte dei Cocci Primitivo di Manduria,2012,Red wine,Primitivo,86 ratings,"33,820",//images.vivino.com/thumbs/76zW85ZCReuubjshh0_4TQ_pb_x600.png
1761,1761,1761,1761,Se_ection Sancerre,2019,White wine,Sauvignon Blanc,86 ratings,"43,967",//images.vivino.com/thumbs/9UdrEDyrTli46hCSbvgBBw_pb_x600.png
1762,1762,1762,1762,Marquis de Mons Margaux,2017,Red wine,Merlot,88 ratings,"45,094",//images.vivino.com/thumbs/z4Lhi7J-RiullKYuQ85E0w_pb_x600.png
1763,1763,1763,1763,Wilyabrup Pinot Noir,2017,Red wine,Pinot Noir,89 ratings,"71,023",//images.vivino.com/thumbs/FlmghSRfQgmu0234SouWXw_pb_x600.png
1764,1764,1764,1764,Cabernet Sauvignon,2018,Red wine,Cabernet Sauvignon,89 ratings,"60,877",//images.vivino.com/thumbs/DzlYbSPQQz-nRqlyEIEMjQ_150x200.jpg
1765,1765,1765,1765,Rasteau Les Blovac,2014,Red wine,Blend,89 ratings,"27,056",//images.vivino.com/thumbs/p9eR6HtGQXy93DPdCgyxaQ_pb_x600.png
1766,1766,1766,1766,Iglesia Vella,2015,White wine,Grenache Gris,91 ratings,"87,697",//images.vivino.com/thumbs/_DdRvitQRkWa4NxvU8wsCA_pb_x600.png
1767,1767,1767,1767,QM Super Reserva Alvarinho Bruto,2018,Sparkling wine,Alvarinho,91 ratings,"33,820",//images.vivino.com/thumbs/Ftc1U_ieSR6sIb7XHBFSmg_pb_x600.png
